資料集Id,資料集名稱,資料集提供機關名稱,資料集連結,主要欄位說明,資料資源下載連結,資料資源檔案格式,metadata文字編碼
31273,桃園市政府地方稅務局101年度歲入決算表,桃園市政府地方稅務局,data.gov.tw/node/31273,決算數、稅課收入、罰款及賠償收入、規費收入、財產收入、其他收入,http://data.tycg.gov.tw/opendata/datalist/datasetMeta/download?id=e53fd987-e780-453e-819e-c7fadd8f025b&rid=f6537175-5355-4bca-8bce-3d88dd2e0e10,CSV,UTF-8
31274,桃園市政府地方稅務局103年度歲出決算表,桃園市政府地方稅務局,data.gov.tw/node/31274,預算數、決算數、比較增減數、剔除經費繳庫數,http://data.tycg.gov.tw/opendata/datalist/datasetMeta/download?id=55f17fc0-c143-48ca-8b30-3636faec083d&rid=043f1e97-f6a0-49e7-9500-9313b8c5fcec,CSV,UTF-8
31275,桃園市政府地方稅務局104年度歲出決算表,桃園市政府地方稅務局,data.gov.tw/node/31275,預算數、決算數、比較增減數、剔除經費繳庫數,http://data.tycg.gov.tw/opendata/datalist/datasetMeta/download?id=1f4eded7-2f3a-4d6f-9f8d-bd80ffe3c304&rid=bfddf6b4-5f79-4648-858c-7e436750580d,CSV,UTF-8
31276,桃園市政府地方稅務局102年度歲入決算表,桃園市政府地方稅務局,data.gov.tw/node/31276,名稱、決算表,http://data.tycg.gov.tw/opendata/datalist/datasetMeta/download?id=f7388266-6841-4393-8535-2e097807f0a6&rid=42ee37fe-b8a6-45ac-926d-6fe607b292d4,CSV,UTF-8
31277,桃園市政府地方稅務局102年度歲出決算表,桃園市政府地方稅務局,data.gov.tw/node/31277,預算數、決算數、比較增減數、剔除經費繳庫數,http://data.tycg.gov.tw/opendata/datalist/datasetMeta/download?id=47568c7d-25ef-464b-a317-d102c0b078fe&rid=a4d35b97-b05d-4689-b03c-fa5a6664bf16,CSV,UTF-8
31278,桃園市政府地方稅務局104??歲入決算表,桃園市政府地方稅務局,data.gov.tw/node/31278,名稱、決算表,http://data.tycg.gov.tw/opendata/datalist/datasetMeta/download?id=f7e4252e-c3f4-4d61-866a-3b6ef12c4bca&rid=dfa19a3e-238a-4390-b5d9-d88c9992da4f,CSV,UTF-8
31279,桃園市政府機關通訊錄API,桃園市政府研究發展考核委員會,data.gov.tw/node/31279,"""lat"":緯度
""englishtitle"":英文名稱
""chinesetitle"":中文名稱
 ""address"": 地址
""fax"": 傳真
""email"": 電子郵件
""lng"": 經度
""tel"": 電話
""website"": 網址",http://appapi.tycg.gov.tw/liaison/list?mserno=201401060001,其他,UTF-8
31280,桃園市政府地方稅務局105年度歲出預算表,桃園市政府地方稅務局,data.gov.tw/node/31280,本年度預算數、上年度預算數、前年度決算數、本年度與上年度比較,http://data.tycg.gov.tw/opendata/datalist/datasetMeta/download?id=b84333b1-e83f-402f-a42a-1dcaac0398cf&rid=994c86c5-cdd2-411d-9d09-e9c6e6f60b82,CSV,UTF-8
31281,桃園市政府地方稅務局103年度歲入決算表,桃園市政府地方稅務局,data.gov.tw/node/31281,名稱、決算,http://data.tycg.gov.tw/opendata/datalist/datasetMeta/download?id=095ed98d-1e7d-478b-94e9-61d0869db016&rid=043e1d3d-75aa-4c7c-a284-5cf17cfeb672,CSV,UTF-8
31282,桃園市政府地方稅務局105??歲入預算表,桃園市政府地方稅務局,data.gov.tw/node/31282,名稱、預算數,http://data.tycg.gov.tw/opendata/datalist/datasetMeta/download?id=1ed61261-4541-4d3c-9eb6-545118383151&rid=b54b73fd-fe2d-4e06-9cf9-6b015e832a9b,CSV,UTF-8
31298,桃園市政府地方稅務局101年稅務秘書執行成果表,桃園市政府地方稅務局,data.gov.tw/node/31298,親臨里長辦公室、下鄉服務、電話服務次數、網路服務次數、宣導諮詢服務人數、受理案件數,http://data.tycg.gov.tw/opendata/datalist/datasetMeta/download?id=0948637b-a2e3-469d-8308-63bb732547c1&rid=725299a2-de6e-42fb-a7a7-14f40638a685,CSV,UTF-8
