資料集Id,資料集名稱,資料集提供機關名稱,資料集連結,主要欄位說明,資料資源下載連結,資料資源檔案格式,metadata文字編碼
21745,交通部觀光局105年度單位預算案,交通部觀光局,data.gov.tw/node/21745,歲入來源別預算表、歲出機關別預算表、歲入項目說明提要表、歲出計畫提要及分支計畫概況表、各項費用彙計表、歲出一級用途別科目分析表、資本支出分析表、人事費分析表、預算員額明細表、現有辦公房舍明細表、補助經費分析表、捐助經費分析表、派員出國計畫預算總表、派員出國計畫預算類別表-開會、歲出按職能及經濟性綜合分類表、跨年期計畫概況表、委辦經費分析表,http://admin.taiwan.net.tw/upload/contentFile/201509/105_all_law_xml.zip,XML,UTF-8
24417,觀光拔尖領航方案執行情形表,交通部觀光局,data.gov.tw/node/24417,觀光拔尖領航方案98年度至103年度之預、決算數,http://admin.taiwan.net.tw/upload/contentFile/201606/pvet_103 (1).CSV.csv,CSV,UTF-8
26926,103年國人旅遊狀況調查,交通部觀光局,data.gov.tw/node/26926,停留天數、停留夜數、到訪國家、出國主要目的、選擇出國旅遊地點主要原因、出國安排方式、年齡、教育程度、職業、婚姻狀況、個人每月平均所得、居住縣市、性別、季別、出國旅次權數、對本季所到過的遊覽地區不滿意的項目,http://admin.taiwan.net.tw/upload/contentFile/201601/103年國人旅遊狀況調查.zip,CSV,UTF-8
26928,103年來臺旅客消費及動向調查,交通部觀光局,data.gov.tw/node/26928,"停留夜數、來臺次數、出發之前多久計畫此次行程、旅遊動向、對臺灣境內搭乘交通工具之滿意度、此次來臺經驗滿意度
",http://admin.taiwan.net.tw/upload/contentFile/201601/103年來臺旅客消費及動向調查.zip,CSV,UTF-8
27533,交通部觀光局105年度會計報告,交通部觀光局,data.gov.tw/node/27533,"平衡表、現金出納表、歲入累計表、以前年度歲入保留數餘額表、、經費累計表、以前年度歲出保留數餘額表
",http://admin.taiwan.net.tw/upload/contentFile/201603/report_accounts_xml_10501.zip,XML,UTF-8
27948,交通部觀光局105年度單位預算,交通部觀光局,data.gov.tw/node/27948,歲入來源別預算表、歲出機關別預算表、歲入項目說明提要表、歲出計畫提要及分支計畫概況表、各項費用彙計表、歲出一級用途別科目分析表、資本支出分析表、人事費分析表、預算員額明細表、現有辦公房舍明細表、補助經費分析表、捐助經費分析表、派員出國計畫預算總表、派員出國計畫預算類別表-開會、歲出按職能及經濟性綜合分類表、跨年期計畫概況表、委辦經費分析表,http://admin.taiwan.net.tw/upload/contentFile/201602/105_all_law_xml.zip,XML,UTF-8
31476,大鵬灣觀光產業聯盟會員名冊資料,交通部觀光局,data.gov.tw/node/31476,店家名稱、連絡電話、地址、負責人、產業型態,http://admin.taiwan.net.tw/upload/contentFile/201606/屏東縣大鵬灣觀光產業聯盟名冊分產業_20150813.CSV.csv,CSV,UTF-8
31477,大鵬灣遊憩區遊客人數,交通部觀光局,data.gov.tw/node/31477,年度、月份、人數統計,http://admin.taiwan.net.tw/upload/contentFile/201606/104年_遊客.解說.簡報廳人數統計.CSV.csv,CSV,UTF-8
33595,交通部觀光局及所屬104年度單位決算,交通部觀光局,data.gov.tw/node/33595,歲入來源別決算表、歲出政事別決算表、歲出機關別決算表、以前年度歲入來源別轉入數決算表、以前年度歲出政事別轉入數決算表、以前年度歲出機關別轉入數決算表、歲入類平衡表、經費類平衡表,http://admin.taiwan.net.tw/upload/contentFile/201608/final_accounts_xml_104.zip,XML,UTF-8
33732,觀光發展基金104年度決算,交通部觀光局,data.gov.tw/node/33732,"收支餘絀決算表
餘絀撥補決算表
現金流量決算表
平衡表",http://admin.taiwan.net.tw/public/public.aspx?no=93,XML,UTF-8
